Bankleitzahl;Merkmal;Bezeichnung;PLZ;Ort;Kurzbezeichnung;PAN;BIC;Prüfzifferberechnungsmethode;Datensatznummer;Änderungskennzeichen;Bankleitzahllöschung;Nachfolge-Bankleitzahl
"74090000";"1";"VR-Bank Passau";"94015";"Passau";"VR-Bank Passau";"97012";"GENODEF1PA1";"88";"022713";"U";"0";"00000000"
"74120071";"1";"UniCredit Bank - HypoVereinsbank";"94460";"Deggendorf";"UniCredit Bank-HypoVereinbk";"22022";"HYVEDEMM415";"99";"000108";"U";"0";"00000000"
"74131000";"1";"TEBA Kreditbank";"94405";"Landau a.d.Isar";"TEBA Kreditbank";;"TEKRDE71XXX";"09";"049215";"U";"0";"00000000"
"74140048";"1";"Commerzbank";"94469";"Deggendorf";"Commerzbank DE F-D48";"24755";"COBADEFFXXX";"13";"055614";"U";"0";"00000000"
"74150000";"1";"Sparkasse Deggendorf";"94459";"Deggendorf";"Spk Deggendorf";"57234";"BYLADEM1DEG";"00";"010500";"U";"0";"00000000"
"74151450";"1";"Sparkasse Regen-Viechtach";"94202";"Regen";"Sparkasse Regen-Viechtach";"57226";"BYLADEM1REG";"00";"008011";"U";"0";"00000000"
"74160025";"1";"Raiffeisenbank Deggendorf-Plattling-Sonnenwald";"94457";"Deggendorf";"Raiba Deg.-Pla.-Sonnenw.";"67014";"GENODEF1DEG";"88";"027499";"U";"0";"00000000"
"74161608";"1";"Raiffeisenbank Hengersberg-Schöllnach";"94488";"Hengersberg";"Raiffbk Hengersb-Schöllnach";"67072";"GENODEF1HBW";"88";"028018";"U";"0";"00000000"
"74164149";"1";"VR-Bank -alt-";"94209";"Regen";"VR-Bank -alt-";"68125";"GENODEF1RGE";"88";"027817";"U";"0";"00000000"
"74165013";"1";"Raiffeisenbank Sonnenwald -alt-";"94530";"Auerbach";"Raiffbk Sonnenwald -alt-";"68066";"GENODEF1AUS";"88";"027338";"U";"0";"00000000"
"74180009";"1";"Commerzbank vormals Dresdner Bank";"94451";"Deggendorf";"Commerzbank Deggendorf";"28741";"DRESDEFF741";"76";"005332";"U";"0";"00000000"
"74190000";"1";"VR GenoBank DonauWald";"94234";"Viechtach";"VR GenoBank DonauWald";"97013";"GENODEF1DGV";"88";"021750";"U";"0";"00000000"
"74191000";"1";"VR-Bank Landau-Mengkofen";"94405";"Landau a.d.Isar";"VR-Bank Landau-Mengkofen";"97071";"GENODEF1LND";"88";"021977";"U";"0";"00000000"
"74220075";"1";"UniCredit Bank - HypoVereinsbank";"94304";"Straubing";"UniCredit Bank-HypoVereinbk";"22085";"HYVEDEMM452";"99";"000109";"U";"0";"00000000"
"74221170";"1";"UniCredit Bank - HypoVereinsbank";"93413";"Cham";"UniCredit Bank-HypoVereinbk";"22019";"HYVEDEMM675";"99";"000110";"U";"0";"00000000"
"74240062";"1";"Commerzbank Straubing";"94315";"Straubing";"Commerzbank Straubing";"24753";"COBADEFFXXX";"13";"010234";"U";"0";"00000000"
"74250000";"1";"Sparkasse Niederbayern-Mitte";"94304";"Straubing";"Spk Niederbayern-Mitte";"57296";"BYLADEM1SRG";"00";"009352";"U";"0";"00000000"
